株式会社　太田出版株式会社　太田出版 , 35.691802 , 139.720479
株式会社　ＴＫＣ　東京本社株式会社　ＴＫＣ　東京本社 , 35.701951 , 139.74277
株式会社　銀座コージーコーナー株式会社　銀座コージーコーナー , 35.702407 , 139.74331
土地興業　株式会社土地興業　株式会社 , 35.702687 , 139.742814
大興電子通信　株式会社大興電子通信　株式会社 , 35.701819 , 139.742708
社団法人　金融財政事情研究会　検定センター社団法人　金融財政事情研究会　検定センター , 35.688804 , 139.72232
大日本印刷　株式会社大日本印刷　株式会社 , 35.695623 , 139.731017
新日本法規出版　株式会社新日本法規出版　株式会社 , 35.695972 , 139.735585
公益財団法人　東京都予防医学協会　代謝異常検査センター公益財団法人　東京都予防医学協会　代謝異常検査センター , 35.694281 , 139.735923
東京産婦人科医会東京産婦人科医会 , 35.693781 , 139.735982
株式会社　偕成社株式会社　偕成社 , 35.696412 , 139.735646
公益財団法人　東京都予防医学協会公益財団法人　東京都予防医学協会 , 35.694281 , 139.735923
公益財団法人　東京都予防医学協会公益財団法人　東京都予防医学協会 , 35.694281 , 139.735923
菱電エレベータ施設　株式会社菱電エレベータ施設　株式会社 , 35.695795 , 139.734988
中央大学　市ヶ谷田町キャンパス中央大学　市ヶ谷田町キャンパス , 35.693687 , 139.736605
株式会社　インテリジェンス株式会社　インテリジェンス , 35.693687 , 139.736605
アンスティチュ・フランセ東京アンスティチュ・フランセ東京 , 35.698347 , 139.739776
一般社団法人　家の光協会一般社団法人　家の光協会 , 35.698325 , 139.740426
中央大学　市ヶ谷キャンパス中央大学　市ヶ谷キャンパス , 35.69277 , 139.730077
経済アナリスト協会経済アナリスト協会 , 35.690911 , 139.731341
銀行業務検定協会銀行業務検定協会 , 35.690894 , 139.731327
株式会社　井田両国堂株式会社　井田両国堂 , 35.691178 , 139.73299
株式会社　経済法令研究会株式会社　経済法令研究会 , 35.690894 , 139.731327
独立行政法人　日本学生支援機構独立行政法人　日本学生支援機構 , 35.694615 , 139.731791
株式会社　福田組　東京本店株式会社　福田組　東京本店 , 35.691017 , 139.732256
独立行政法人　国際協力機構研究所独立行政法人　国際協力機構研究所 , 35.694496 , 139.731179
防衛省　情報本部防衛省　情報本部 , 35.692694 , 139.728781
